prompt,layer_22,layer_17,layer_9,layer_10,layer_0,layer_19,layer_7,layer_18,layer_6,layer_1,layer_11,layer_16,layer_8,layer_23,cfg,layer_2,layer_5,layer_15,layer_12,layer_20,layer_21,layer_13,layer_14,layer_4,layer_3
a wristband reading 'Music Festival',0.7586206896551724,0.2608695652173913,0.19047619047619047,0.8125,0.9629629629629629,0.8666666666666667,0.2857142857142857,0.4,0.43478260869565216,0.896551724137931,0.21052631578947367,0.18181818181818182,0.7272727272727273,0.17391304347826086,0.4,0.2222222222222222,0.47619047619047616,0.3,0.72,0.3,0.42105263157894735,0.4444444444444444,0.21052631578947367,0.4,0.7692307692307693
a chef preparing vegetables in a modern kitchen with an apron that says 'Plant Powered',0.38461538461538464,0.4444444444444444,1.0,0.96,0.782608695652174,0.8571428571428571,1.0,0.96,1.0,0.96,0.4444444444444444,0.8275862068965517,0.5,0.6956521739130435,0.4,0.96,0.4444444444444444,0.38461538461538464,0.4,0.9230769230769231,0.4444444444444444,0.4,0.96,1.0,0.96
a delivery drone resting on a landing pad with the label 'express courier' on its side,0.6122448979591837,0.5,0.32558139534883723,0.6363636363636364,0.5957446808510638,0.4444444444444444,0.6818181818181818,0.75,0.41025641025641024,0.5161290322580645,0.48484848484848486,0.38461538461538464,0.5660377358490566,0.7647058823529411,0.8823529411764706,0.56,0.38095238095238093,0.5957446808510638,0.38095238095238093,0.4375,0.3902439024390244,0.6976744186046512,0.32,0.5882352941176471,0.52
a coffee cup with 'Morning Fuel' printed on it,0.56,0.96,0.25,0.8888888888888888,0.56,0.96,1.0,0.8888888888888888,0.9230769230769231,1.0,0.47619047619047616,0.96,0.96,0.9565217391304348,0.96,0.25,0.96,0.42105263157894735,0.88,1.0,0.8888888888888888,0.8461538461538461,0.96,0.9230769230769231,0.96
"a courtroom with wooden benches, flags, and high ceilings with a plaque above the judge's bench that reads 'in justice we trust'",0.2564102564102564,0.3333333333333333,0.22857142857142856,0.29411764705882354,0.23076923076923078,0.21621621621621623,0.3076923076923077,0.32432432432432434,0.30303030303030304,0.21621621621621623,0.3076923076923077,0.14285714285714285,0.2926829268292683,0.2926829268292683,0.21621621621621623,0.21052631578947367,0.2222222222222222,0.2702702702702703,0.3333333333333333,0.34146341463414637,0.32558139534883723,0.21621621621621623,0.21052631578947367,0.48484848484848486,0.2631578947368421
a menu showing 'Today's Special: Pizza',0.012437810945273632,0.021739130434782608,0.019157088122605363,0.020703933747412008,0.09259259259259259,0.009633911368015413,0.020491803278688523,0.02207505518763797,0.01443001443001443,0.009950248756218905,0.024630541871921183,0.016233766233766232,0.02,0.02544529262086514,0.020618556701030927,0.021321961620469083,0.021231422505307854,0.02074688796680498,0.02207505518763797,0.024213075060532687,0.017543859649122806,0.024271844660194174,0.021739130434782608,0.02564102564102564,0.00931098696461825
A metal plaque on a wall engraved with 'This building was dedicated in 1950'.,0.9315068493150684,0.9166666666666666,0.918918918918919,0.918918918918919,1.0,0.9315068493150684,0.918918918918919,0.8611111111111112,0.8918918918918919,0.9041095890410958,0.918918918918919,0.8918918918918919,0.9444444444444444,0.8395061728395061,0.9041095890410958,0.9066666666666666,0.9315068493150684,0.9444444444444444,0.9444444444444444,0.9315068493150684,0.8918918918918919,0.9315068493150684,0.9295774647887324,0.9459459459459459,0.8918918918918919
a lanyard that says 'Staff',0.05714285714285714,0.29411764705882354,0.16666666666666666,0.21052631578947367,0.6666666666666666,0.0,0.4,0.3125,0.3333333333333333,0.5,0.26666666666666666,0.24,0.5882352941176471,0.23529411764705882,0.18181818181818182,0.47058823529411764,0.0,0.43478260869565216,0.45454545454545453,0.06060606060606061,0.047619047619047616,0.42105263157894735,0.14814814814814814,0.20689655172413793,0.10256410256410256
"A handwritten note that says 'I Owe You' in messy, scrawled, quick handwriting.",0.36363636363636365,0.42105263157894735,0.9,0.8421052631578947,1.0,0.8421052631578947,0.8421052631578947,0.5,0.42105263157894735,1.0,0.8421052631578947,0.4,0.30303030303030304,0.6,0.8421052631578947,0.8235294117647058,0.5263157894736842,0.4,0.42105263157894735,0.4,0.8,0.9473684210526315,0.8421052631578947,0.43478260869565216,0.8421052631578947
a folder tab labeled 'Taxes 2024',0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45454545454545453,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
An airport terminal with a large departure board displaying 'FLIGHT 815 - DELAYED'.,0.09742120343839542,0.3220338983050847,0.08130081300813008,0.3469387755102041,0.6046511627906976,0.10784313725490197,0.4927536231884058,0.25,0.20134228187919462,0.27522935779816515,0.13333333333333333,0.265625,0.03966597077244259,0.25287356321839083,0.20987654320987653,0.18848167539267016,0.2857142857142857,0.4235294117647059,0.0787746170678337,0.18095238095238095,0.10441767068273092,0.11940298507462686,0.06041335453100159,0.1686746987951807,0.6129032258064516
a form titled 'Job Application',0.029411764705882353,0.08498583569405099,0.03015075376884422,0.04862236628849271,0.8571428571428571,0.10256410256410256,0.040376850605652756,0.040106951871657755,0.03529411764705882,0.061465721040189124,0.028790786948176585,0.02464788732394366,0.04,0.06982543640897755,0.03740648379052369,0.08287292817679558,0.0411522633744856,0.033783783783783786,0.028985507246376812,0.06521739130434782,0.0683371298405467,0.046583850931677016,0.03504043126684636,0.05952380952380952,0.046296296296296294
a kid playing with building blocks on the floor next to a box labeled 'TOYS',0.1702127659574468,0.1951219512195122,0.35294117647058826,0.25806451612903225,0.7272727272727273,0.75,0.7272727272727273,0.3157894736842105,0.2727272727272727,0.38095238095238093,0.25806451612903225,0.25806451612903225,0.5,0.4444444444444444,1.0,0.32,0.3333333333333333,0.34782608695652173,0.3076923076923077,0.3076923076923077,1.0,0.21428571428571427,0.23529411764705882,0.27586206896551724,0.25806451612903225
a planner with '2025 Goals' on the cover,0.2631578947368421,0.8333333333333334,1.0,0.23255813953488372,0.0,0.5714285714285714,1.0,0.4444444444444444,0.9523809523809523,0.9090909090909091,0.9,0.7692307692307693,0.2898550724637681,0.15384615384615385,0.17857142857142858,1.0,1.0,0.5263157894736842,1.0,1.0,1.0,1.0,0.9,0.4878048780487805,1.0
a pamphlet reading 'Health Tips',0.013197360527894421,0.0138801261829653,0.012181616832779624,0.012514220705346985,1.0,0.012352610892756879,0.01325301204819277,0.01732283464566929,0.012394366197183098,0.017628205128205128,0.013924050632911392,0.010531354715174725,0.012865497076023392,0.026993865030674847,0.01053639846743295,0.014397905759162303,0.014221073044602456,0.011139240506329114,0.013836477987421384,0.0128130460104834,0.011346054667354307,0.013819095477386936,0.01445466491458607,0.01585014409221902,0.013775829680651221
a pen with 'Bank of America' written on it,0.1111111111111111,0.48,0.42857142857142855,0.16666666666666666,0.0,0.46153846153846156,0.48484848484848486,0.48,0.35714285714285715,0.34285714285714286,0.5,0.5,0.42424242424242425,0.16666666666666666,0.2978723404255319,0.42857142857142855,0.18181818181818182,0.4827586206896552,0.46153846153846156,0.24,0.5,0.27586206896551724,0.34285714285714286,0.18181818181818182,0.2
a prescription labeled 'Take twice daily',0.24806201550387597,0.30927835051546393,0.29357798165137616,0.43243243243243246,0.9696969696969697,0.3111111111111111,0.4050632911392405,0.4266666666666667,0.4444444444444444,0.22764227642276422,0.3595505617977528,0.37209302325581395,0.367816091954023,0.34408602150537637,0.2962962962962963,0.463768115942029,0.35555555555555557,0.2549019607843137,0.3333333333333333,0.32098765432098764,0.30612244897959184,0.3516483516483517,0.29213483146067415,0.3404255319148936,0.31683168316831684
a luggage tag that says 'Vacation Bound',1.0,0.9655172413793104,0.9230769230769231,0.9629629629629629,1.0,1.0,1.0,0.7777777777777778,0.8235294117647058,1.0,0.6842105263157895,0.8235294117647058,0.9629629629629629,1.0,0.9655172413793104,0.8235294117647058,0.5833333333333334,1.0,0.8484848484848485,0.9032258064516129,1.0,0.9032258064516129,0.6363636363636364,1.0,0.9655172413793104
a patch with 'Explorer' written on it,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.625,1.0,1.0,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,1.0,1.0
"A patch that says 'SECURITY' in a thick, embroidered, blocky font.",1.0,1.0,0.9333333333333333,0.9333333333333333,0.875,1.0,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,1.0
a woman painting on a canvas in her studio with a wall poster that says 'Inspire',0.3333333333333333,0.10526315789473684,0.2857142857142857,0.46153846153846156,0.7142857142857143,0.4,0.5714285714285714,0.3333333333333333,0.375,1.0,0.5,0.3333333333333333,0.18181818181818182,0.3333333333333333,0.17391304347826086,0.36363636363636365,0.46153846153846156,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.3076923076923077,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.38095238095238093
a luggage tag that says 'Vacation Bound',0.896551724137931,1.0,0.8571428571428571,1.0,0.9285714285714286,1.0,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.9655172413793104,1.0,1.0,1.0,0.9285714285714286,0.5,1.0,0.5714285714285714,1.0,1.0,1.0,1.0,0.9285714285714286,0.9655172413793104,0.5714285714285714,1.0
a blackboard filled with complex equations and the word 'PHYSICS' written at the top,0.01217391304347826,0.011705685618729096,0.012511170688114389,0.01282051282051282,1.0,0.019230769230769232,0.014537902388369679,0.023140495867768594,0.025974025974025976,0.013270142180094787,0.01611047180667434,0.015469613259668509,0.010736196319018405,0.014690451206715634,0.013944223107569721,0.02385008517887564,0.014141414141414142,0.01564245810055866,0.013270142180094787,0.014018691588785047,0.017467248908296942,0.02491103202846975,0.012411347517730497,0.016887816646562123,0.012131715771230503
"A sign that says 'OPEN' in a bright, glowing neon font.",1.0,1.0,1.0,1.0,0.0,1.0,0.8888888888888888,1.0,1.0,0.75,0.8888888888888888,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,1.0,1.0,1.0
a train station information screen in a modern terminal displaying the words 'next train 10:45',0.625,0.6808510638297872,0.47058823529411764,0.4,0.9090909090909091,0.7317073170731707,0.6521739130434783,0.5357142857142857,0.6122448979591837,0.7317073170731707,0.3614457831325301,0.2608695652173913,0.43478260869565216,0.5357142857142857,0.5,0.7317073170731707,0.47619047619047616,0.5357142857142857,0.4918032786885246,0.47619047619047616,0.7142857142857143,0.625,0.6818181818181818,0.6122448979591837,0.3488372093023256
a wallet with 'Genuine Leather' embossed on it,1.0,0.5714285714285714,0.7647058823529411,0.8275862068965517,0.0,0.47619047619047616,0.5714285714285714,0.8125,0.6086956521739131,0.9032258064516129,0.5714285714285714,0.45454545454545453,0.896551724137931,1.0,0.8666666666666667,0.6363636363636364,0.4,0.6086956521739131,0.5714285714285714,0.5833333333333334,0.5217391304347826,0.4827586206896552,0.5454545454545454,0.5714285714285714,0.5454545454545454
A wooden crate with 'PROPERTY OF U.S. ARMY' stenciled on the side.,0.926829268292683,0.8571428571428571,0.8695652173913043,0.9090909090909091,0.8444444444444444,0.9302325581395349,0.8636363636363636,0.8717948717948718,0.9302325581395349,0.8,0.8571428571428571,0.8888888888888888,0.8780487804878049,0.9302325581395349,0.8947368421052632,0.8837209302325582,0.8636363636363636,0.7659574468085106,0.9,0.9130434782608695,0.8837209302325582,0.7547169811320755,0.8837209302325582,0.9523809523809523,0.9523809523809523
a manual reading 'User Guide',1.0,1.0,1.0,0.7142857142857143,1.0,1.0,0.7407407407407407,0.7142857142857143,0.7142857142857143,1.0,1.0,0.7142857142857143,1.0,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5405405405405406,0.7142857142857143,0.9523809523809523,1.0,1.0,0.7142857142857143,1.0,1.0,0.6666666666666666
a keychain with 'Home Sweet Home' on it,0.6923076923076923,0.9333333333333333,0.9090909090909091,0.967741935483871,1.0,0.9333333333333333,0.967741935483871,1.0,0.9090909090909091,0.9333333333333333,0.9375,0.967741935483871,0.967741935483871,0.8666666666666667,1.0,0.9333333333333333,0.9375,0.8823529411764706,0.967741935483871,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.967741935483871,0.967741935483871,1.0
"a science lab with beakers, wires, and glowing equipment on metal tables and a warning label that says 'high voltage'",0.26666666666666666,0.48,0.5263157894736842,0.3888888888888889,0.88,0.5555555555555556,0.17857142857142858,0.6428571428571429,0.32,0.5333333333333333,0.5263157894736842,0.07407407407407407,0.5263157894736842,0.2692307692307692,0.2857142857142857,0.4,0.4666666666666667,0.42857142857142855,0.5217391304347826,0.5384615384615384,0.46153846153846156,0.25,0.375,0.43243243243243246,0.5714285714285714
"A birthday card that says 'Happy Birthday' in a fun, balloon-letter font.",0.64,0.896551724137931,0.72,0.5454545454545454,0.6086956521739131,1.0,0.7142857142857143,0.9285714285714286,0.7857142857142857,0.9629629629629629,0.75,0.8,0.7407407407407407,0.11764705882352941,0.6896551724137931,0.8,0.9285714285714286,0.9629629629629629,0.896551724137931,0.7142857142857143,0.9285714285714286,0.7741935483870968,0.9655172413793104,0.9230769230769231,0.7586206896551724
A person holding a protest sign that reads 'PEACE NOW'.,0.8,0.8888888888888888,0.8888888888888888,0.7619047619047619,0.9,0.6956521739130435,1.0,0.7368421052631579,0.8,0.8421052631578947,0.8571428571428571,0.8,0.7368421052631579,0.7619047619047619,0.9,0.7619047619047619,0.7619047619047619,0.8,0.8,0.8421052631578947,0.8571428571428571,0.7619047619047619,0.7619047619047619,0.7272727272727273,0.8888888888888888
a magnet reading 'Save the Date',0.8888888888888888,0.9629629629629629,1.0,1.0,1.0,0.9285714285714286,1.0,0.9629629629629629,0.9629629629629629,1.0,0.896551724137931,0.9285714285714286,1.0,0.5,0.9629629629629629,0.9285714285714286,0.9629629629629629,1.0,0.9629629629629629,0.8,0.8275862068965517,1.0,0.9629629629629629,1.0,1.0
"A team jersey with 'TIGERS' in a classic, athletic, block font with an outline.",0.5714285714285714,0.8333333333333334,0.6666666666666666,0.9230769230769231,0.3076923076923077,0.7692307692307693,0.9230769230769231,1.0,0.9230769230769231,0.7692307692307693,0.7692307692307693,0.9230769230769231,0.9230769230769231,0.6666666666666666,0.7692307692307693,0.9230769230769231,1.0,0.7692307692307693,1.0,0.6153846153846154,0.7692307692307693,0.6153846153846154,0.9230769230769231,0.9230769230769231,1.0
a water bottle with 'Hydrate Daily' on it,0.2,0.6285714285714286,0.9285714285714286,1.0,0.7741935483870968,0.21052631578947367,0.4,0.7692307692307693,0.3157894736842105,1.0,0.9230769230769231,0.47619047619047616,0.631578947368421,0.7647058823529411,0.3157894736842105,0.42105263157894735,0.96,0.5263157894736842,0.3157894736842105,0.8888888888888888,0.3333333333333333,0.42105263157894735,0.4,0.3,1.0
