prompt,layer_9,layer_0,layer_7,layer_10,layer_17,layer_6,layer_1,layer_8,layer_18,layer_16,layer_11,cfg,layer_12,layer_15,layer_2,layer_5,layer_14,layer_13,layer_4,layer_3
a calendar showing 'December 2024',0.34375,1.0,0.4727272727272727,0.4727272727272727,0.5416666666666666,0.4262295081967213,0.896551724137931,0.40625,0.3225806451612903,0.49056603773584906,0.4126984126984127,0.3561643835616438,0.48148148148148145,0.4262295081967213,0.8387096774193549,0.36619718309859156,0.37681159420289856,0.32098765432098764,0.7647058823529411,0.3466666666666667
a prescription labeled 'Take twice daily',0.7692307692307693,0.56,0.5,0.4838709677419355,0.7692307692307693,0.875,0.32432432432432434,0.9375,0.875,0.509090909090909,0.7692307692307693,0.5769230769230769,0.6,0.7804878048780488,0.19047619047619047,0.6818181818181818,0.5769230769230769,0.5882352941176471,0.875,0.6521739130434783
a green water bottle on a bench with the brand name 'freshflow',0.0,0.9473684210526315,0.9411764705882353,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,0.9473684210526315,0.8888888888888888,0.7777777777777778,1.0,1.0,0.6428571428571429,0.6428571428571429,0.0,0.0,1.0
a pen with 'Bank of America' written on it,0.48484848484848486,0.6486486486486487,0.5294117647058824,0.8823529411764706,0.48484848484848486,0.45,0.0,0.45161290322580644,0.5454545454545454,0.45161290322580644,0.45161290322580644,0.5,0.4375,0.875,0.125,0.5454545454545454,0.5333333333333333,0.48484848484848486,0.4375,0.5
"A shop sign that says 'Antiques' in an old-fashioned, Victorian-era font.",0.875,1.0,1.0,1.0,0.875,1.0,0.7058823529411765,0.75,0.5384615384615384,0.875,0.8235294117647058,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.875
a letter addressed 'Dear Mom',0.9411764705882353,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5454545454545454,1.0,1.0,1.0,0.9411764705882353,1.0
a pamphlet reading 'Health Tips',0.9090909090909091,0.0,0.08239700374531835,0.03735144312393888,1.0,0.17886178861788618,0.0,1.0,1.0,0.7619047619047619,0.9090909090909091,0.04,0.9090909090909091,0.029455081001472753,1.0,0.05747126436781609,0.03343465045592705,0.03492063492063492,0.6470588235294118,0.8181818181818182
a red apple on a wooden table with a sticker that says 'organic',1.0,0.34782608695652173,0.16666666666666666,0.8,0.4,1.0,0.0,0.5714285714285714,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,0.0,0.4,0.8571428571428571,1.0,0.0,0.7692307692307693
a shopping bag with 'Thank You' printed on it,0.36363636363636365,0.16666666666666666,0.16666666666666666,0.0,0.36363636363636365,0.3333333333333333,0.0,0.6666666666666666,0.8235294117647058,0.8888888888888888,0.18181818181818182,0.36363636363636365,0.8888888888888888,0.36363636363636365,0.46153846153846156,0.18181818181818182,0.3076923076923077,0.36363636363636365,0.3333333333333333,0.16666666666666666
an invitation reading 'Wedding Reception',0.7906976744186046,0.0,0.35294117647058826,0.8888888888888888,0.7906976744186046,0.8648648648648649,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,0.9142857142857143,0.32432432432432434,0.0,0.10526315789473684,0.5294117647058824,1.0,0.4,0.5294117647058824
a wristband reading 'Music Festival',1.0,0.42857142857142855,0.5714285714285714,0.9285714285714286,0.9333333333333333,1.0,1.0,1.0,0.8571428571428571,0.26666666666666666,1.0,0.7333333333333333,0.9333333333333333,0.6666666666666666,0.0,1.0,0.47619047619047616,0.5714285714285714,0.7857142857142857,0.2222222222222222
a menu showing 'Today's Special: Pizza',0.04081632653061224,0.38461538461538464,0.030303030303030304,0.03361344537815126,0.038314176245210725,0.24390243902439024,0.5263157894736842,0.08196721311475409,0.37037037037037035,0.033444816053511704,0.0364963503649635,0.04,0.042735042735042736,0.03496503496503497,0.0,0.02,0.012953367875647668,0.017953321364452424,0.0425531914893617,0.37037037037037035
a blue backpack lying on the ground with a patch that says 'camp day',0.7,1.0,0.7,0.17391304347826086,0.2222222222222222,0.4827586206896552,1.0,1.0,0.9411764705882353,0.2608695652173913,0.3157894736842105,0.35294117647058826,0.25,0.7619047619047619,1.0,0.5,0.7272727272727273,0.6363636363636364,0.4666666666666667,1.0
a red bicycle leaning against a metal fence with a sticker that says 'ride safe',0.14285714285714285,0.16666666666666666,0.16666666666666666,0.8421052631578947,0.5625,0.375,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.75,0.0,0.8181818181818182,0.75,0.3,0.26666666666666666,0.3181818181818182,0.9
