prompt,layer_3,layer_24,layer_23,layer_4,layer_16,layer_11,layer_18,cfg,layer_19,layer_10,layer_17,layer_22,layer_5,layer_2,layer_25,layer_14,layer_13,layer_1,layer_26,layer_21,layer_6,layer_8,layer_9,layer_20,layer_7,layer_0,layer_27,layer_12,layer_15
a bookmark reading 'Chapter 5',0.0,0.08,0.2,0.05319148936170213,0.11214953271028037,0.04081632653061224,0.14285714285714285,0.08080808080808081,0.10989010989010989,0.18666666666666668,0.11764705882352941,0.0,0.04295942720763723,0.0,0.18181818181818182,0.10256410256410256,0.01927710843373494,0.0,0.0,0.10344827586206896,0.0,0.0547945205479452,0.04590163934426229,0.055944055944055944,0.04608294930875576,0.0,0.0,0.05405405405405406,0.0963855421686747
a thermos with 'Keep Cold' written on it,0.0,0.13333333333333333,0.0,0.125,0.0,0.35294117647058826,0.0,0.0,0.375,0.25,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.1111111111111111,0.26666666666666666,0.0,0.0,0.0,0.125,0.21052631578947367
a warning sign that reads 'Wet Floor',0.34782608695652173,0.14285714285714285,0.1,0.13333333333333333,0.18181818181818182,0.1,0.06896551724137931,0.09523809523809523,0.13333333333333333,0.18181818181818182,0.19047619047619047,0.1111111111111111,0.09090909090909091,0.0,0.21052631578947367,0.09523809523809523,0.19047619047619047,0.0,0.0,0.25,0.14285714285714285,0.19047619047619047,0.17391304347826086,0.15384615384615385,0.10526315789473684,0.0,0.0,0.1,0.10526315789473684
a headband saying 'Fitness First',0.125,0.2727272727272727,0.3,0.21052631578947367,0.2702702702702703,0.2127659574468085,0.2608695652173913,0.3333333333333333,0.0975609756097561,0.23529411764705882,0.14285714285714285,0.1875,0.2692307692307692,0.0,0.18181818181818182,0.16326530612244897,0.27906976744186046,0.0,0.0,0.14285714285714285,0.2,0.16216216216216217,0.20689655172413793,0.21428571428571427,0.16216216216216217,0.0,0.0,0.1875,0.12121212121212122
a form titled 'Job Application',0.015759312320916905,0.1951219512195122,0.30434782608695654,0.016824395373291272,0.026865671641791045,0.022099447513812154,0.16666666666666666,0.09278350515463918,0.12844036697247707,0.028169014084507043,0.17777777777777778,0.07446808510638298,0.10404624277456648,0.0,0.015437392795883362,0.025806451612903226,0.03636363636363636,0.0,0.0,0.03501945525291829,0.23809523809523808,0.018853102906520033,0.021034180543382998,0.018105849582172703,0.027079303675048357,0.0,0.0,0.02789400278940028,0.0449438202247191
a contract titled 'Rental Agreement',0.2,0.0,0.0,0.0,0.18181818181818182,0.11764705882352941,0.0,0.0,0.11764705882352941,0.25,0.0,0.0,0.2564102564102564,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a tote bag with 'Eco Friendly' printed on it,0.0,0.2608695652173913,0.0,0.2727272727272727,0.2857142857142857,0.34782608695652173,0.36363636363636365,0.36363636363636365,0.34782608695652173,0.3333333333333333,0.38095238095238093,0.3448275862068966,0.18181818181818182,0.0,0.29411764705882354,0.2857142857142857,0.38095238095238093,0.0,0.2222222222222222,0.17391304347826086,0.0,0.36363636363636365,0.18181818181818182,0.17391304347826086,0.17391304347826086,0.0,0.0,0.16666666666666666,0.2857142857142857
a hat with 'Beach Life' embroidered on it,0.3076923076923077,0.0,0.0,0.2608695652173913,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.26666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.16666666666666666,0.15384615384615385,0.3333333333333333,0.0,0.0,0.0,0.0
a clipboard with 'Survey' written on top,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a folder labeled 'Important Documents',0.046413502109704644,0.0,0.0,0.10309278350515463,0.09523809523809523,0.1276595744680851,0.0,0.35294117647058826,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.16666666666666666,0.2,0.3,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.09523809523809523
a magazine with 'Sports Weekly' on the cover,0.23529411764705882,0.13114754098360656,0.09523809523809523,0.23809523809523808,0.12698412698412698,0.12,0.06451612903225806,0.08333333333333333,0.11538461538461539,0.10526315789473684,0.22857142857142856,0.2727272727272727,0.1509433962264151,0.0,0.21052631578947367,0.14634146341463414,0.08163265306122448,0.0,0.0,0.1643835616438356,0.14285714285714285,0.1016949152542373,0.1935483870967742,0.16666666666666666,0.16,0.0,0.0,0.12121212121212122,0.13333333333333333
a jersey with number '10' on it,0.0,0.5,0.6666666666666666,0.5,0.5,0.0,0.0,0.5,0.0,0.4,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5
a raccoon exploring a trash bin in an alley next to a warning sign that says 'no feeding wildlife',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.25806451612903225,0.0,0.14814814814814814,0.17391304347826086,0.21052631578947367,0.0,0.0,0.0,0.0,0.2962962962962963,0.0,0.0,0.30303030303030304,0.0,0.0,0.0,0.0
an elastic band with 'Stretch & Fit' printed on it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a hiker resting at the edge of a mountain cliff with a backpack patch that reads 'WANDER',0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.2
a rulebook titled 'Game Rules',0.0449438202247191,0.0,0.0,0.0,0.19047619047619047,0.04093567251461988,0.0,0.25806451612903225,0.0,0.12371134020618557,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.12903225806451613,0.0,0.1,0.06451612903225806,0.12121212121212122,0.0,0.0,0.0,0.0,0.15384615384615385
a greeting card saying 'Thank You',0.0,0.08695652173913043,0.0,0.0,0.07692307692307693,0.10714285714285714,0.0,0.09836065573770492,0.0,0.09090909090909091,0.15873015873015872,0.041666666666666664,0.0,0.0,0.15789473684210525,0.17857142857142858,0.10526315789473684,0.0,0.16666666666666666,0.1568627450980392,0.0,0.0,0.10714285714285714,0.14814814814814814,0.08888888888888889,0.0,0.0,0.05063291139240506,0.12345679012345678
An airport terminal with a large departure board displaying 'FLIGHT 815 - DELAYED'.,0.0684931506849315,0.07407407407407407,0.06593406593406594,0.16666666666666666,0.16,0.1935483870967742,0.06363636363636363,0.05238095238095238,0.23529411764705882,0.0,0.0,0.09259259259259259,0.0,0.0,0.0,0.16216216216216217,0.0,0.0,0.0,0.0743801652892562,0.09523809523809523,0.033707865168539325,0.04697986577181208,0.35555555555555557,0.0,0.0,0.0,0.021691973969631236,0.0
A street with a crosswalk and the word 'LOOK' painted on the pavement.,0.1111111111111111,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A person looking at their smartwatch, which displays the message 'New Notification'.",0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.27586206896551724,0.0,0.06666666666666667,0.2222222222222222,0.1111111111111111,0.1935483870967742,0.10526315789473684,0.0,0.15789473684210525,0.23529411764705882,0.2,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
a book with 'Adventure Stories' on the cover,0.14814814814814814,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16393442622950818,0.13114754098360656,0.0,0.0,0.20833333333333334,0.09523809523809523,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0
A restaurant check on a table with a handwritten signature and tip amount.,0.0,0.04878048780487805,0.0,0.0,0.14,0.13043478260869565,0.0,0.0,0.0,0.02666666666666667,0.0,0.2524271844660194,0.0,0.0,0.08888888888888889,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.05263157894736842,0.15730337078651685,0.18947368421052632,0.22988505747126436,0.0,0.0,0.0,0.0
a delivery drone resting on a landing pad with the label 'express courier' on its side,0.23076923076923078,0.26666666666666666,0.24,0.0,0.20689655172413793,0.2,0.36363636363636365,0.22857142857142856,0.25,0.20689655172413793,0.21052631578947367,0.2,0.2962962962962963,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.21052631578947367,0.21428571428571427,0.0,0.20689655172413793,0.3448275862068966,0.3225806451612903,0.0,0.11764705882352941,0.0,0.37037037037037035,0.2
A prescription pad with a doctor's handwritten notes and a signature.,0.050655021834061134,0.12738853503184713,0.0,0.10354223433242507,0.08857808857808858,0.08428246013667426,0.0,0.06779661016949153,0.22660098522167488,0.08168316831683169,0.047186932849364795,0.09970674486803519,0.0749063670411985,0.0,0.10570824524312897,0.04932182490752158,0.02656042496679947,0.0,0.027777777777777776,0.09911504424778761,0.0,0.07777777777777778,0.08713692946058091,0.042505592841163314,0.08516886930983847,0.0,0.0,0.06570841889117043,0.053927315357561546
a planner with '2025 Goals' on the cover,0.16216216216216217,0.06451612903225806,0.09090909090909091,0.11428571428571428,0.05,0.1111111111111111,0.1111111111111111,0.07017543859649122,0.13333333333333333,0.08333333333333333,0.2857142857142857,0.16666666666666666,0.20512820512820512,0.0,0.26666666666666666,0.037037037037037035,0.047619047619047616,0.0,0.3333333333333333,0.09302325581395349,0.13333333333333333,0.16216216216216217,0.2702702702702703,0.2222222222222222,0.23529411764705882,0.0,0.0,0.3157894736842105,0.13333333333333333
a price tag showing '$9.99',0.0,0.0975609756097561,0.0,0.0,0.0,0.06451612903225806,0.0,0.07272727272727272,0.0,0.034782608695652174,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.044444444444444446,0.0,0.0,0.04,0.0
"A newspaper headline 'WAR ENDS' in a bold, very large, impactful, sans-serif font.",0.0,0.10126582278481013,0.06896551724137931,0.0,0.044444444444444446,0.2,0.07142857142857142,0.10126582278481013,0.03278688524590164,0.11764705882352941,0.10526315789473684,0.044444444444444446,0.2,0.0,0.10256410256410256,0.09523809523809523,0.0759493670886076,0.0,0.26666666666666666,0.08695652173913043,0.0,0.18181818181818182,0.07017543859649122,0.1276595744680851,0.15384615384615385,0.0,0.0,0.10638297872340426,0.06779661016949153
